                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 3.1739,                 3.7228,                 3.9129,                 0.0053,                0.69481,                0.03516,                0.00705,                 2.5226,                 4.1107,                  3.855,               0.039682,              0.0066816,              0.0066816
                     69,                 2.8077,                 3.6358,                 3.8659,                0.00474,                 0.6039,                0.02088,                0.00687,                 2.5101,                 4.1071,                  3.847,               0.038781,              0.0067808,              0.0067808
                     70,                 3.1099,                 3.8092,                 3.8984,                0.00474,                 0.6039,                0.02088,                0.00687,                 2.5101,                 4.1071,                  3.847,                0.03788,                0.00688,                0.00688
                     71,                 2.9432,                 3.6748,                 3.8208,                0.00474,                 0.6039,                0.02088,                0.00687,                 2.5101,                 4.1071,                  3.847,               0.036979,              0.0069791,              0.0069791
                     72,                 2.8876,                 3.6317,                 3.7897,                0.00512,                0.69481,                0.00883,                0.00405,                  2.496,                 4.1058,                 3.8406,               0.036078,              0.0070782,              0.0070782
                     73,                 3.1206,                 3.8517,                 3.9349,                0.00512,                0.69481,                0.00883,                0.00405,                  2.496,                 4.1058,                 3.8406,               0.035177,              0.0071772,              0.0071772
                     74,                 2.9756,                 3.6923,                 3.8341,                0.00512,                0.69481,                0.00883,                0.00405,                  2.496,                 4.1058,                 3.8406,               0.034276,              0.0072763,              0.0072763
                     75,                 2.8774,                 3.7829,                  3.822,                0.00513,                0.69481,                0.01082,                0.00429,                 2.4843,                 4.1065,                 3.8357,               0.033375,              0.0073753,              0.0073753
                     76,                 3.0863,                 3.7644,                 3.8484,                0.00513,                0.69481,                0.01082,                0.00429,                 2.4843,                 4.1065,                 3.8357,               0.032474,              0.0074743,              0.0074743
                     77,                 2.8042,                  3.666,                 3.8077,                0.00513,                0.69481,                0.01082,                0.00429,                 2.4843,                 4.1065,                 3.8357,               0.031573,              0.0075732,              0.0075732
                     78,                 2.7232,                 3.5727,                  3.859,                0.00512,                0.69481,                0.01124,                0.00444,                 2.4794,                  4.106,                 3.8312,               0.030672,              0.0076722,              0.0076722
                     79,                 2.8326,                 3.6873,                 3.7773,                0.00512,                0.69481,                0.01124,                0.00444,                 2.4794,                  4.106,                 3.8312,               0.029771,              0.0077711,              0.0077711
                     80,                 2.8851,                 3.5602,                 3.7691,                0.00512,                0.69481,                0.01124,                0.00444,                 2.4794,                  4.106,                 3.8312,                0.02887,              0.0078699,              0.0078699
